"Address","Est1998Price","Est2007Price","Est2011Price","Est2014Price","PercentPriceChange","NumBedrooms","BikeFriendliness","WalkFriendliness","DistanceFromRail","NumGarageSpaces","NumBathrooms","NumRooms","Acres","InteriorInSqFt"
"406 Acrebrook Drive 1062",148.36255,233.84185,191.82112,210.729,42.036518,3,35,9,2.4,2,1,5,0.28,0.966
"57 Autumn Dr 1062",135.20725,261.42025,206.96768,204.171,51.0059557,3,44,5,1.97,1,1,5,0.29,0.96
"31 Bridge Road 1062",256.52835,401.0359,347.9472,338.662,32.0173774,3,66,46,0.043371212,2,2,7,0.36,1.725
"200 Bridge Road 1060",231.67945,305.08605,257.49152,276.25,19.2380248,3,61,40,0.554734848,1,1,6,0.26,1.727
"395 Bridge Road 1062",271.8762,298.766,236.62528,169.173,-37.77572292,4,53,32,0.596590909,0,1,6,0.31,1.576
"23 Brierwood Drive 1062",192.9444,275.784,243.29824,211.487,9.6103333,3,36,12,1.88,1,1,6,0.31,1.32
"18 Bright Avenue 1060",171.0189,303.93695,297.95296,311.456,82.1178829,3,97,82,0.444886364,0,1,6,0.08,1.202
"23 Bright Street 1060",213.4082,380.92665,378.76992,377.857,77.0583323,4,95,88,0.444886364,0,1,9,0.11,2.136
"497 Burts Pit Rd 1062",427.54725,336.11175,260.24544,227.681,-46.74717239,5,38,15,1.93,0,2,7,0.31,1.918
"1086 Burts Pit Rd 1062",163.7104,249.92925,212.79328,224.366,37.0505478,3,30,9,2.873030303,0,1,5,0.27,1.008
"14 Carolyn Street 1062",177.59655,271.76215,215.97088,218.785,23.1921453,3,46,35,0.756628788,0,2,5,0.27,1.296
"21 Clement St 1062",200.98375,309.1079,277.29856,269.62,34.150149,3,38,20,1.41,2,1,7,0.51,1.432
"46 Columbus Ave 1060",238.2571,471.131,434.48384,447.842,87.9658571,4,79,68,1.42155303,0,2,8,0.23,2.04
"156 Crescent Street 1060",263.83685,448.72355,394.65792,386.446,46.4715789,3,85,65,0.246780303,0,1,6,0.11,1.604
"176 Crescent Street 1060",331.8059,564.2081,450.6896,528.114,59.1635351,4,74,68,0.396022727,0,2,9,0.15,2.278
"15 Crestview Dr 1062",167.36465,256.82385,215.33536,221.22,32.1784499,3,36,20,1.567234848,0,1,6,0.23,1.208
"64 Crestview Dr 1062",217.06245,321.748,310.98112,320.206,47.5179148,5,37,17,1.676704545,0,2,7,0.23,1.744
